repo,old_env,new_env,old_code,new_code
numpy/numpy,v1.24.2,v1.24.3,"[' hypothesis.settings.register_profile(\n', '     name=""np.test() profile"",\n', '     deadline=None, print_blob=True, database=None, derandomize=True,\n', '+    suppress_health_check=list(hypothesis.HealthCheck),\n', ' )\n', ' # Note that the default profile is chosen based on the presence \n', ' # of pytest.ini, but can be overridden by passing the \n']","[' hypothesis.settings.register_profile(\n', '     name=""np.test() profile"",\n', '     deadline=None, print_blob=True, database=None, derandomize=True,\n', '-    suppress_health_check=hypothesis.HealthCheck.all(),\n', ' )\n', ' # Note that the default profile is chosen based on the presence \n', ' # of pytest.ini, but can be overridden by passing the \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _require_with_like = array_function_dispatch(\n', '+    _require_dispatcher, use_like=True\n', ' )(require)\n']","[' \n', ' \n', ' _require_with_like = array_function_dispatch(\n', '-    _require_dispatcher\n', ' )(require)\n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _ones_with_like = array_function_dispatch(\n', '+    _ones_dispatcher, use_like=True\n', ' )(ones)\n', ' \n', ' \n']","[' \n', ' \n', ' _ones_with_like = array_function_dispatch(\n', '-    _ones_dispatcher\n', ' )(ones)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _full_with_like = array_function_dispatch(\n', '+    _full_dispatcher, use_like=True\n', ' )(full)\n', ' \n', ' \n']","[' \n', ' \n', ' _full_with_like = array_function_dispatch(\n', '-    _full_dispatcher\n', ' )(full)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _fromfunction_with_like = array_function_dispatch(\n', '+    _fromfunction_dispatcher, use_like=True\n', ' )(fromfunction)\n', ' \n', ' \n']","[' \n', ' \n', ' _fromfunction_with_like = array_function_dispatch(\n', '-    _fromfunction_dispatcher\n', ' )(fromfunction)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' _identity_with_like = array_function_dispatch(\n', '+    _identity_dispatcher, use_like=True\n', ' )(identity)\n', ' \n', ' \n']","[' \n', ' \n', ' _identity_with_like = array_function_dispatch(\n', '-    _identity_dispatcher\n', ' )(identity)\n', ' \n', ' \n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ' \n', ' def array_function_dispatch(dispatcher, module=None, verify=True,\n', '+                            docs_from_dispatcher=False, use_like=False):\n', '     """"""Decorator for adding dispatch with the __array_function__ protocol.\n', ' \n', '     See NEP-18 for example usage.\n']","[' \n', ' \n', ' def array_function_dispatch(dispatcher, module=None, verify=True,\n', '-                            docs_from_dispatcher=False):\n', '     """"""Decorator for adding dispatch with the __array_function__ protocol.\n', ' \n', '     See NEP-18 for example usage.\n']"
numpy/numpy,v1.24.2,v1.24.3,"['                 raise TypeError(new_msg) from None\n', ' \n', '             return implement_array_function(\n', '+                implementation, public_api, relevant_args, args, kwargs,\n', '+                use_like)\n', ' \n', '         public_api.__code__ = public_api.__code__.replace(\n', '                 co_name=implementation.__name__,\n']","['                 raise TypeError(new_msg) from None\n', ' \n', '             return implement_array_function(\n', '-                implementation, public_api, relevant_args, args, kwargs)\n', ' \n', '         public_api.__code__ = public_api.__code__.replace(\n', '                 co_name=implementation.__name__,\n']"
numpy/numpy,v1.24.2,v1.24.3,"[' \n', ""         dt = np.datetime64('2000', '5μs')\n"", ""         assert np.datetime_data(dt.dtype) == ('us', 5)\n"", '+\n', '+\n', '+def test_comparisons_return_not_implemented():\n', '+    # GH#17017\n', '+\n', '+    class custom:\n', '+        __array_priority__ = 10000\n', '+\n', '+    obj = custom()\n', '+\n', ""+    dt = np.datetime64('2000', 'ns')\n"", '+    td = dt - dt\n', '+\n', '+    for item in [dt, td]:\n', '+        assert item.__eq__(obj) is NotImplemented\n', '+        assert item.__ne__(obj) is NotImplemented\n', '+        assert item.__le__(obj) is NotImplemented\n', '+        assert item.__lt__(obj) is NotImplemented\n', '+        assert item.__ge__(obj) is NotImplemented\n', '+        assert item.__gt__(obj) is NotImplemented\n']","[' \n', ""         dt = np.datetime64('2000', '5μs')\n"", ""         assert np.datetime_data(dt.dtype) == ('us', 5)\n""]"
numpy/numpy,v1.24.2,v1.24.3,"['         with pytest.raises(TypeError):\n', '             # cannot call it a second time:\n', '             np.negative._get_strided_loop(call_info)\n', '+\n', '+    def test_long_arrays(self):\n', '+        t = np.zeros((1029, 917), dtype=np.single)\n', '+        t[0][0] = 1\n', '+        t[28][414] = 1\n', '+        tc = np.cos(t)\n', '+        assert_equal(tc[0][0], tc[28][414])\n']","['         with pytest.raises(TypeError):\n', '             # cannot call it a second time:\n', '             np.negative._get_strided_loop(call_info)\n']"
numpy/numpy,v1.24.2,v1.24.3,"[' def getarrdims(a, var, verbose=0):\n', '     ret = {}\n', '     if isstring(var) and not isarray(var):\n', ""+        ret['size'] = getstrlength(var)\n"", ""+        ret['rank'] = '0'\n"", ""+        ret['dims'] = ''\n"", '     elif isscalar(var):\n', ""         ret['size'] = '1'\n"", ""         ret['rank'] = '0'\n""]","[' def getarrdims(a, var, verbose=0):\n', '     ret = {}\n', '     if isstring(var) and not isarray(var):\n', ""-        ret['dims'] = getstrlength(var)\n"", ""-        ret['size'] = ret['dims']\n"", ""-        ret['rank'] = '1'\n"", '     elif isscalar(var):\n', ""         ret['size'] = '1'\n"", ""         ret['rank'] = '0'\n""]"
